FOODSTORE_ID,FOODSTORE_NAME,FOODCATEGORY_CODE,FOODCATEGORY,ADDRESS,WORKING_TIME,IMG_URL,RATE,LATITUDE,LONGITUDE,AREA,TAG_STORE,TAG_GENDER,TAG_AGE,TAG_ID
26875724,권숙수,29,한식,서울 강남구 압구정로80길 37 4층,화~금 12:00 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF6D6B92DB5714C74B51B2CFBDC7ADCF1,4.4,127.0435929,37.5243779,청담동,분위기,여,20대,37
85570955,남도애찬,29,한식,서울 강남구 역삼로3길 8,월~토 10:00 ~ 23:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F275A4BEA6C0946C1BE338742988A1349,4.4,127.0318448,37.4941151,역삼동,주차,여,30대,37
137451961,춘식당,29,한식,서울 강남구 도산대로23길 17,월~목 18:00 ~ 02:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFD7B80E978DA4EDAA8DE0CE9480B4742,3.4,127.0259653,37.5201521,신사동,맛,남,60대이상,37
414107084,무월식탁 강남본점,29,한식,서울 강남구 강남대로102길 23 1층,매일 11:00 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBAF80D244E90429B9BBD39B74B6C3E63,2.5,127.027324,37.5026289,역삼동,가격,남,50대,37
517266022,벌교한상,29,한식,서울 강남구 광평로46길 7,매일 10:30 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6475C7C13074420AB9E3E2437D07FF04,2.9,127.0994114,37.4858552,수서동,서비스,여,30대,37
979859936,우기식당 육지점,29,한식,서울 강남구 학동로2길 39 LS빌딩 1층,월~금 17:00 ~ 02:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC36B97158A894C0796CBD3B4FA32BEC1,4.2,127.0234632,37.5090215,논현동,분위기,여,30대,37
1151874015,백곰막걸리,29,한식,서울 강남구 압구정로48길 39,화~목 17:30 ~ 23:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB2093ED81D8E4642AC52D4C15D0E40F0,3.3,127.0370903,37.5259469,신사동,주차,남,30대,37
1198484281,이대성의 진면목,29,한식,서울 강남구 삼성로100길 23-3 1층,매일 10:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAEEB81087019422D8E0C26D8518D1F8F,4,127.0571544,37.5102323,삼성동,맛,여,30대,37
1570632448,청담25,29,한식,서울 강남구 압구정로79길 32 2층 201~203호,월~토 11:00 ~ 06:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD05348542A974BFE9E21AE23C7634202,3.3,127.0497384,37.5250763,청담동,가격,여,50대,37
1576421052,대낚식당,29,한식,서울 강남구 역삼로 137 1층,월~금 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAD4565370A6F463C8866BE80DD0E5AA5,3.7,127.0344741,37.4945511,역삼동,서비스,남,60대이상,37
7983060,신동궁감자탕 역삼본점,30,한식(감자탕),서울 강남구 테헤란로10길 21,월화수목금일 11:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8F3B594E174D44AB9C4558D42A432488,3.5,127.0328941,37.497809,역삼동,서비스,여,10대,1
11356521,신동궁감자탕뼈숯불구이 선릉직영점,30,한식(감자탕),서울 강남구 선릉로86길 39,월~토 09:00 ~ 08:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1708413F4F4CC43014,3.4,127.0528884,37.5041071,대치동,서비스,남,10대,1
8024422,외고집설렁탕,30,"한식(곰탕,설렁탕)",서울 강남구 삼성로 555 알앤텍빌딩 1층,월~토 11:00 ~ 21:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F01062A03796A3039D0,3.3,127.0539096,37.5110173,삼성동,맛,여,10대,2
14569639,이도곰탕 본점,30,"한식(곰탕,설렁탕)",서울 강남구 논현로94길 29-5,월~금 10:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F11729D414E9645AC2F,4,127.0384436,37.5033597,역삼동,맛,남,20대,2
16649489,이남장 삼성점,30,"한식(곰탕,설렁탕)",서울 강남구 봉은사로108길 21,월~금 10:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F33455E051FDB427FBE4A3A0813E50E61,4,127.0644758,37.5136064,삼성동,가격,남,40대,2
